"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Feb 24 14:17:20 GMT 2023","Fri Feb 24 14:17:20 GMT 2023","9","","CalculatorTest","","CalculatorTest","testAddWithNegative","testAddWithNegative()","Description related to testAddWithNegative test"
"passed","Fri Feb 24 14:17:20 GMT 2023","Fri Feb 24 14:17:20 GMT 2023","17","","CalculatorTest","","CalculatorTest","testAdd","testAdd()","Description related to testAdd test"
